# M=100, N=50, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vnum=81, PBC
# start time 2022-02-20 08:01:11
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -5.000000000000E-02      5.041399449306E-04      9.636580722727E-05      7.227609672622E-05      6.424361059620E-05      6.022668905326E-05      5.781599354293E-05      5.620841109044E-05      5.505975041897E-05      5.419791589301E-05      5.352729882313E-05      1.210425683236E-02
     -1.000000000000E-01      1.765812340009E-03      3.897273969695E-04      2.923240340245E-04      2.598137220446E-04      2.435473531524E-04      2.337785747706E-04      2.272585943848E-04      2.225950723416E-04      2.190918388130E-04      2.163621327820E-04      2.412935760327E-02
     -1.500000000000E-01      3.651449730603E-03      8.866689768912E-04      6.651492289582E-04      5.910877745374E-04      5.539983871459E-04      5.316979844658E-04      5.167921069775E-04      5.061117004432E-04      4.980722377268E-04      4.917934259576E-04      3.607672110784E-02
     -2.000000000000E-01      6.094625086316E-03      1.594025324377E-03      1.195995922012E-03      1.062598956083E-03      9.957088033112E-04      9.554223019483E-04      9.284378205243E-04      9.090546581687E-04      8.944224642513E-04      8.829577104752E-04      4.794766924886E-02
     -2.500000000000E-01      9.051314457849E-03      2.518882058782E-03      1.890353189047E-03      1.679033578464E-03      1.572889778959E-03      1.508819990921E-03      1.465787989603E-03      1.434778239572E-03      1.411282971862E-03      1.392797869300E-03      5.974344968376E-02
     -3.000000000000E-01      1.248907676504E-02      3.668574340889E-03      2.753960400003E-03      2.445227493584E-03      2.289822562475E-03      2.195760307141E-03      2.132371850494E-03      2.086513340166E-03      2.051612844101E-03      2.024019283954E-03      7.146523924793E-02
     -3.500000000000E-01      1.638252409199E-02      5.050683791620E-03      3.792812018604E-03      3.366161521297E-03      3.150844704092E-03      3.020091562413E-03      2.931626813486E-03      2.867332305257E-03      2.818148939677E-03      2.779043866105E-03      8.311414884923E-02
     -4.000000000000E-01      2.071097901579E-02      6.673033558513E-03      5.013161741535E-03      4.446955982188E-03      4.160334712556E-03      3.985617389990E-03      3.866867485486E-03      3.780111667107E-03      3.713363198631E-03      3.659962724511E-03      9.469123035346E-02
     -4.500000000000E-01      2.545710144405E-02      8.543680813155E-03      6.421525491160E-03      5.692864039097E-03      5.322694904828E-03      5.096070865793E-03      4.941252513228E-03      4.827492941462E-03      4.739418499542E-03      4.668488110800E-03      1.061974828379E-01
     -5.000000000000E-01      3.060601258952E-02      1.067090627855E-02      8.024683011701E-03      7.109263809715E-03      6.642332498368E-03      6.355086647114E-03      6.157749576832E-03      6.011842030846E-03      5.898123873860E-03      5.805905742045E-03      1.176338602142E-01
     -5.500000000000E-01      3.614470168983E-02      1.306320114387E-02      9.829678388744E-03      8.701649767952E-03      8.123639558024E-03      7.766171864797E-03      7.519099459271E-03      7.335208404502E-03      7.190890533072E-03      7.073029271063E-03      1.290012819767E-01
     -6.000000000000E-01      4.206160280192E-02      1.572924973019E-02      1.184381830743E-02      1.047562270223E-02      9.770971319863E-03      9.332675526569E-03      9.027779231892E-03      8.799284420393E-03      8.618689428225E-03      8.470157992711E-03      1.403006437810E-01
     -6.500000000000E-01      4.834628254188E-02      1.867790830894E-02      1.407466839031E-02      1.243687891916E-02      1.158862380952E-02      1.105775757295E-02      1.068596597919E-02      1.040536653979E-02      1.018201244260E-02      9.997040238887E-03      1.515328311755E-01
     -7.000000000000E-01      5.498920260748E-02      2.191817943171E-02      1.653004716912E-02      1.459119879205E-02      1.358081123280E-02      1.294435838749E-02      1.249550222155E-02      1.215431997542E-02      1.188083914010E-02      1.165284474001E-02      1.626987376368E-01
     -7.500000000000E-01      6.198153463863E-02      2.545918116451E-02      1.921801725119E-02      1.694443486844E-02      1.575164384353E-02      1.499516986013E-02      1.445786453386E-02      1.404654867075E-02      1.371461133595E-02      1.343614252757E-02      1.737992835277E-01
     -8.000000000000E-01      6.931501526912E-02      2.931011172340E-02      2.214687407169E-02      1.950250060064E-02      1.810510791859E-02      1.721261006646E-02      1.657413782643E-02      1.608197344853E-02      1.568221863200E-02      1.534490272047E-02      1.848354433211E-01
     -8.500000000000E-01      7.698183145123E-02      3.348020877828E-02      2.532513167846E-02      2.227136008086E-02      2.064504901537E-02      1.959880330255E-02      1.884499748749E-02      1.826002089579E-02      1.778199772611E-02      1.737650508885E-02      1.958082775125E-01
     -9.000000000000E-01      8.497453165420E-02      3.797870389341E-02      2.876150588505E-02      2.525702010859E-02      2.337516076737E-02      2.215556835813E-02      2.127070270983E-02      2.057962658639E-02      2.001174918904E-02      1.952777296453E-02      2.067189726909E-01
     -9.500000000000E-01      9.328596289907E-02      4.281477469088E-02      3.246489675621E-02      2.846552738607E-02      2.629898292315E-02      2.488441928470E-02      2.385110553410E-02      2.303925721756E-02      2.236877608330E-02      2.179503041152E-02      2.175688953680E-01
     -1.000000000000E+00      1.019092307408E-01      4.799749441484E-02      3.644437016689E-02      3.190297204681E-02      2.941991128181E-02      2.778658219983E-02      2.658567956651E-02      2.563695565872E-02      2.484994811825E-02      2.417418672154E-02      2.283596542888E-01
     -1.050000000000E+00      1.108376894376E-01      5.353578527263E-02      4.070914332021E-02      3.557550301428E-02      3.274122600111E-02      3.086303505050E-02      2.947357518985E-02      2.837041518890E-02      2.745179670738E-02      2.666085238075E-02      2.390931891252E-01
     -1.100000000000E+00      1.200649649605E-01      5.943837932786E-02      4.526857725099E-02      3.948935942662E-02      3.626614401682E-02      3.411457683408E-02      3.251370773276E-02      3.123708875142E-02      3.017064567466E-02      2.925048985779E-02      2.497718786381E-01
     -1.150000000000E+00      1.295850240812E-01      6.571379834981E-02      5.013218529582E-02      4.365092728426E-02      3.999790562400E-02      3.754193653862E-02      3.570488818812E-02      3.423434148858E-02      3.300278413131E-02      3.193860378254E-02      2.603986861831E-01
     -1.200000000000E+00      1.393923060794E-01      7.237036861914E-02      5.530967049548E-02      4.806683375531E-02      4.393990807924E-02      4.114593445292E-02      3.904600796054E-02      3.735965617722E-02      3.594468894224E-02      3.472097567967E-02      2.709773550378E-01
     -1.250000000000E+00      1.494819374489E-01      7.941629095915E-02      6.081100862714E-02      5.274409469105E-02      4.809590176860E-02      4.492771083035E-02      4.253629106431E-02      4.061090273706E-02      3.899330547316E-02      3.759394960463E-02      2.815126650388E-01
     -1.300000000000E+00      1.598500720288E-01      8.685980727526E-02      6.664661097846E-02      5.769034504436E-02      5.247027617566E-02      4.888904675959E-02      4.617563561388E-02      4.398669024938E-02      4.214640173685E-02      4.055478095563E-02      2.920107876094E-01
     -1.350000000000E+00      1.704944095522E-01      9.470951842603E-02      7.282761316204E-02      6.291419153163E-02      5.706847030574E-02      5.303280795166E-02      4.996507127759E-02      4.748682414231E-02      4.540301503796E-02      4.360206480530E-02      3.024797744822E-01
     -1.400000000000E+00      1.814149773714E-01      1.029749408242E-01      7.936636458261E-02      6.842575031334E-02      6.189756158264E-02      5.736355862705E-02      5.390737395497E-02      5.111290462122E-02      4.876402297200E-02      4.673627251644E-02      3.129302469907E-01
     -1.450000000000E+00      1.926153110727E-01      1.116674444643E-01      8.627724147727E-02      7.423747241507E-02      6.696712005041E-02      6.188842033734E-02      5.800790317511E-02      5.486912448182E-02      5.223289128180E-02      4.996044505803E-02      3.233763770664E-01
     -1.500000000000E+00      2.041042453822E-01      1.208017944550E-01      9.357797738725E-02      8.036541897184E-02      7.229046378377E-02      6.661829198991E-02      6.227576403002E-02      5.876335742854E-02      5.581668176562E-02      5.328112031695E-02      3.338373270541E-01
     -1.550000000000E+00      2.158986726932E-01      1.303986694700E-01      1.012918393003E-01      8.683126377949E-02      7.788655032793E-02      7.156963355493E-02      6.672547245784E-02      6.280869830979E-02      5.952746847133E-02      5.670963221017E-02      3.443394138522E-01
     -1.600000000000E+00      2.280278658976E-01      1.404887863936E-01      1.094512081368E-01      9.366549932529E-02      8.378290938537E-02      7.676716364149E-02      7.137943296093E-02      6.702573347985E-02      6.338441635488E-02      6.026401612027E-02      3.549194408739E-01
     -1.650000000000E+00      2.405404547887E-01      1.511197584174E-01      1.181035696627E-01      1.009127147822E-01      9.002036594176E-02      8.224812520122E-02      7.627180959427E-02      7.144606493096E-02      6.741700014305E-02      6.397196012305E-02      3.656300417804E-01
     -1.700000000000E+00      2.535161397507E-01      1.623678345737E-01      1.273218431106E-01      1.086406267295E-01      9.666101953003E-02      8.806940965336E-02      8.145494007018E-02      7.611812492274E-02      7.167030727144E-02      6.787566790593E-02      3.765486503562E-01
     -1.750000000000E+00      2.670865069507E-01      1.743589795304E-01      1.372230586475E-01      1.169563878537E-01      1.038025807794E-01      9.432028889335E-02      8.701075387231E-02      8.111750420412E-02      7.621444996079E-02      7.204049149049E-02      3.877935046778E-01
     -1.800000000000E+00      2.814752151490E-01      1.873096866239E-01      1.480047495267E-01      1.260384544267E-01      1.116064008370E-01      1.011473004197E-01      9.307308266578E-02      8.656713383875E-02      8.116296558618E-02      7.657182238744E-02      3.995548454254E-01
