# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -2.000000000000E+00      3.528248501917E-01      2.546809434323E-01      2.056819840555E-01      1.754374836884E-01      1.544917150707E-01      1.389140915190E-01      1.267579990080E-01      1.169392174633E-01      1.088006149263E-01      1.019177460965E-01      4.536443248820E-01
     -1.990000000000E+00      3.469190098939E-01      2.489200428514E-01      2.006393442250E-01      1.710621994224E-01      1.506635354890E-01      1.355258493149E-01      1.237253822268E-01      1.141976130745E-01      1.063004693921E-01      9.962066832034E-02      4.492791109444E-01
     -1.980000000000E+00      3.414596567420E-01      2.436164358955E-01      1.960161312151E-01      1.670638214246E-01      1.471740211700E-01      1.324435098935E-01      1.209708738881E-01      1.117104981815E-01      1.040346333491E-01      9.754054266162E-02      4.452154720499E-01
     -1.970000000000E+00      3.363655144603E-01      2.386874819656E-01      1.917357478057E-01      1.633729466116E-01      1.439604070419E-01      1.296100762261E-01      1.184424124339E-01      1.094300296915E-01      1.019588841705E-01      9.563627268940E-02      4.414008737755E-01
     -1.960000000000E+00      3.315741370368E-01      2.340694343942E-01      1.877393842347E-01      1.599364410578E-01      1.409747299220E-01      1.269820514089E-01      1.161003113271E-01      1.073197725704E-01      1.000395741064E-01      9.387661478026E-02      4.377939297625E-01
     -1.950000000000E+00      3.270366810403E-01      2.297124960955E-01      1.839812762115E-01      1.567130504662E-01      1.381798024678E-01      1.245257459613E-01      1.139138604227E-01      1.053515574568E-01      9.825071082329E-02      9.223745316802E-02      4.343617519061E-01
     -1.940000000000E+00      3.227144343320E-01      2.255772920134E-01      1.804253521975E-01      1.536703134539E-01      1.355463917686E-01      1.222146957317E-01      1.118589528597E-01      1.035032884556E-01      9.657192192009E-02      9.069990087075E-02      4.310779587557E-01
     -1.930000000000E+00      3.185763503635E-01      2.216323299536E-01      1.770428376398E-01      1.507823661818E-01      1.330512189768E-01      1.200278351095E-01      1.099164085451E-01      1.017573959293E-01      9.498701929439E-02      8.924896092688E-02      4.279211853718E-01
     -1.920000000000E+00      3.145972594923E-01      2.178521531004E-01      1.738105223282E-01      1.480283612074E-01      1.306755228274E-01      1.179481879202E-01      1.080707744911E-01      1.000997304953E-01      9.348297364625E-02      8.787257061303E-02      4.248739666225E-01
     -1.910000000000E+00      3.107565523339E-01      2.142159801437E-01      1.707094915478E-01      1.453913138893E-01      1.284040144776E-01      1.159619168689E-01      1.063094550037E-01      9.851876197449E-02      9.204917230948E-02      8.656091013016E-02      4.219218961336E-01
