# M=32, N=16, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 21:58:59
#                       V#               S₀₋₅(n=1)#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)
     -2.000000000000E+00      3.641514952849E-01      2.656466242799E-01      2.153414416943E-01      1.838426650851E-01      1.618536469201E-01      1.454306348552E-01      1.325882336590E-01      1.222065473608E-01      1.136004008589E-01      1.063242287783E-01      4.661143608974E-01
     -1.990000000000E+00      3.560513609789E-01      2.577066396383E-01      2.083392181257E-01      1.777261144686E-01      1.564711752546E-01      1.406443105737E-01      1.282882297554E-01      1.183077650041E-01      1.100368594707E-01      1.030442739312E-01      4.596013791950E-01
     -1.980000000000E+00      3.491687473218E-01      2.509990498420E-01      2.024566305479E-01      1.726101494918E-01      1.519848276823E-01      1.366658992476E-01      1.247220224785E-01      1.150801963705E-01      1.070912616849E-01      1.003365220884E-01      4.540757334369E-01
     -1.970000000000E+00      3.431088946694E-01      2.451233044920E-01      1.973278332407E-01      1.681661355672E-01      1.480989435681E-01      1.332277932281E-01      1.216457158432E-01      1.123000675092E-01      1.045570356762E-01      9.800922919040E-02      4.492163500211E-01
     -1.960000000000E+00      3.376383064372E-01      2.398435281059E-01      1.927382830387E-01      1.642019848264E-01      1.446411594698E-01      1.301743143027E-01      1.189176763464E-01      1.098376253541E-01      1.023145587925E-01      9.595148622740E-02      4.448331591509E-01
     -1.950000000000E+00      3.326092071808E-01      2.350108491790E-01      1.885529720779E-01      1.605971207221E-01      1.415035026508E-01      1.274081095758E-01      1.164494636082E-01      1.076119505919E-01      1.002893121269E-01      9.409427018949E-02      4.408058447657E-01
     -1.940000000000E+00      3.279227951367E-01      2.305259160606E-01      1.846819969831E-01      1.572714029006E-01      1.386143256842E-01      1.248646678075E-01      1.141825425534E-01      1.055695425041E-01      9.843207274814E-02      9.239202647372E-02      4.370539582938E-01
     -1.930000000000E+00      3.235099843772E-01      2.263193537311E-01      1.810626837515E-01      1.541690441497E-01      1.359238148530E-01      1.224991848434E-01      1.120762983741E-01      1.036733113897E-01      9.670874323219E-02      9.081322111193E-02      4.335212373862E-01
     -1.920000000000E+00      3.193206520764E-01      2.223408893059E-01      1.776496730586E-01      1.512497117040E-01      1.333959875389E-01      1.202793217319E-01      1.101014370088E-01      1.018965239241E-01      9.509476276777E-02      8.933515334224E-02      4.301668471310E-01
     -1.910000000000E+00      3.153173025698E-01      2.185529593004E-01      1.744091060175E-01      1.484833194648E-01      1.310040167169E-01      1.181809795408E-01      1.082361391940E-01      1.002192782015E-01      9.357185609256E-02      8.794094030125E-02      4.269602194547E-01
     -1.900000000000E+00      3.114711582826E-01      2.149267716005E-01      1.713150494162E-01      1.458468317169E-01      1.287273656948E-01      1.161857133660E-01      1.064637090875E-01      9.862635053321E-02      9.212604910307E-02      8.661767773995E-02      4.238778701781E-01
     -1.890000000000E+00      3.077596505581E-01      2.114397800917E-01      1.683472068529E-01      1.433222198020E-01      1.265499589968E-01      1.142790834928E-01      1.047710765330E-01      9.710582508397E-02      9.074640680364E-02      8.535527094685E-02      4.209013568174E-01
     -1.880000000000E+00      3.041647527468E-01      2.080740077818E-01      1.654894008417E-01      1.408951090170E-01      1.244589727726E-01      1.124495663163E-01      1.031478087536E-01      9.564819033126E-02      8.942420171885E-02      8.414566483555E-02      4.180159225874E-01
     -1.870000000000E+00      3.006718390440E-01      2.048148989273E-01      1.627285348859E-01      1.385538546523E-01      1.224440099535E-01      1.106878125548E-01      1.015854378556E-01      9.424572472164E-02      8.815234881876E-02      8.298232103837E-02      4.152095686164E-01
     -1.860000000000E+00      2.972688823051E-01      2.016505119629E-01      1.600538643971E-01      1.362888938410E-01      1.204965224241E-01      1.089861282275E-01      1.000769907427E-01      9.289206756019E-02      8.692501105412E-02      8.185985304791E-02      4.124724021580E-01
     -1.850000000000E+00      2.939458767799E-01      1.985709384585E-01      1.574564722417E-01      1.340922799483E-01      1.186093965036E-01      1.073381027731E-01      9.861665262729E-02      9.158191208118E-02      8.573731736953E-02      8.077376550999E-02      4.097961678642E-01
     -1.840000000000E+00      2.906944139512E-01      1.955678759112E-01      1.549288834436E-01      1.319573409630E-01      1.167766492479E-01      1.057383369232E-01      9.719952104229E-02      9.031078123822E-02      8.458515682938E-02      7.972026396680E-02      4.071739036190E-01
     -1.830000000000E+00      2.875073650115E-01      1.926343076958E-01      1.524647767503E-01      1.298784241133E-01      1.149932017265E-01      1.041822397972E-01      9.582142260545E-02      8.907486081368E-02      8.346502546044E-02      7.869611337651E-02      4.045996830919E-01
     -1.820000000000E+00      2.843786391641E-01      1.897642592352E-01      1.500587650533E-01      1.278507017073E-01      1.132547068915E-01      1.026658750415E-01      9.447877420740E-02      8.787087308297E-02      8.237391037588E-02      7.769853111602E-02      4.020684199237E-01
     -1.810000000000E+00      2.813029968553E-01      1.869526094201E-01      1.477062256901E-01      1.258700212786E-01      1.115574169055E-01      1.011858423778E-01      9.316847624655E-02      8.669597971576E-02      8.130920076435E-02      7.672510482406E-02      3.995757165388E-01
     -1.800000000000E+00      2.782759034827E-01      1.841949427677E-01      1.454031675087E-01      1.239327883460E-01      1.098980794780E-01      9.973918515412E-02      9.188782937708E-02      8.554770611542E-02      8.026861856973E-02      7.577372844547E-02      3.971177458226E-01
     -1.790000000000E+00      2.752934133936E-01      1.814874320955E-01      1.431461254530E-01      1.220358735599E-01      1.082738558618E-01      9.832331728917E-02      9.063446877684E-02      8.442388172249E-02      7.925016382725E-02      7.484255181913E-02      3.946911573784E-01
