# M=34, N=17, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.05, Vstep=0.05, PBC
# start time 2022-02-04 16:49:37
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -1.850000000000E+00      2.943339829373E-01      1.989642070549E-01      1.577878594497E-01      1.343644032394E-01      1.188338735199E-01      1.075262378795E-01      9.877744685127E-02      9.172203415303E-02      8.586156663838E-02      8.088557136586E-02      4.097972529901E-01
     -1.650000000000E+00      2.372863456431E-01      1.479550132170E-01      1.155217930860E-01      9.888834265100E-02      8.843495746219E-02      8.098873549301E-02      7.525035292759E-02      7.059829111294E-02      6.669719614729E-02      6.334782384211E-02      3.631029290446E-01
     -1.450000000000E+00      1.889200399161E-01      1.082498377145E-01      8.355588031320E-02      7.210308017997E-02      6.527398321717E-02      6.052336976912E-02      5.688962282623E-02      5.393918419013E-02      5.144856460937E-02      4.928991679938E-02      3.204935890317E-01
     -1.250000000000E+00      1.458434671715E-01      7.633999099477E-02      5.840640711725E-02      5.081368623135E-02      4.650081970025E-02      4.358284326500E-02      4.138684167518E-02      3.961881747958E-02      3.813042949745E-02      3.683850139684E-02      2.784881584607E-01
     -1.050000000000E+00      1.076659184949E-01      5.114351123712E-02      3.886540189715E-02      3.405236805080E-02      3.142950738579E-02      2.970769615141E-02      2.844281276383E-02      2.744337962206E-02      2.661346263127E-02      2.589965065890E-02      2.361666072134E-01
     -8.500000000000E-01      7.451304070878E-02      3.185156267494E-02      2.408302470499E-02      2.121812509513E-02      1.970744037883E-02      1.874438062789E-02      1.805645973397E-02      1.752672907808E-02      1.709669483387E-02      1.673384861026E-02      1.931793122614E-01
     -6.500000000000E-01      4.666019752544E-02      1.772558004174E-02      1.335380157477E-02      1.181290410148E-02      1.101978408239E-02      1.052677205505E-02      1.018401104274E-02      9.927260905620E-03      9.724400405638E-03      9.557583661405E-03      1.493573388509E-01
     -4.500000000000E-01      2.450885516335E-02      8.098853889162E-03      6.086505584650E-03      5.398656557067E-03      5.050277357169E-03      4.837778107945E-03      4.693235304878E-03      4.587538215754E-03      4.506131443733E-03      4.440928635489E-03      1.045955915786E-01
     -2.500000000000E-01      8.693740518341E-03      2.387471537022E-03      1.791674110456E-03      1.591628624076E-03      1.491239028653E-03      1.430714060427E-03      1.390121784584E-03      1.360919938589E-03      1.338837391035E-03      1.321501291019E-03      5.880835923863E-02
     -5.000000000000E-02      4.825724241764E-04      9.139999454311E-05      6.855156237018E-05      6.093335451585E-05      5.712373758548E-05      5.483755714675E-05      5.331309497381E-05      5.222390039705E-05      5.140674808413E-05      5.077095729211E-05      1.190945286052E-02
