# M=38, N=19, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.05, PBC
# start time 2022-01-30 19:48:03
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -2.000000000000E+00      3.677704256079E-01      2.693010838970E-01      2.185786496193E-01      1.866770511065E-01      1.643508546062E-01      1.476525249209E-01      1.345848057672E-01      1.240168717299E-01      1.152549306411E-01      1.078468878263E-01      4.673124554816E-01
     -1.950000000000E+00      3.339041896456E-01      2.363087197803E-01      1.896755316717E-01      1.615555572291E-01      1.423283224861E-01      1.281271695759E-01      1.170847403553E-01      1.081801228540E-01      1.008029530336E-01      9.456291725059E-02      4.410875188822E-01
     -1.900000000000E+00      3.125300866067E-01      2.159734897278E-01      1.722073517963E-01      1.465936652161E-01      1.293568199463E-01      1.167241502257E-01      1.069319801657E-01      9.904005420075E-02      9.249664416327E-02      8.695358159834E-02      4.243074579740E-01
     -1.850000000000E+00      2.949623905139E-01      1.995693706440E-01      1.582979742306E-01      1.347836756929E-01      1.191801315609E-01      1.078167527610E-01      9.902595331889E-02      9.193871382836E-02      8.605376051558E-02      8.105853885137E-02      4.103558670849E-01
     -1.800000000000E+00      2.793032975175E-01      1.852011475041E-01      1.462430036672E-01      1.246120286806E-01      1.104487510466E-01      1.001928469155E-01      9.226960245695E-02      8.587609400689E-02      8.055681245352E-02      7.603103577695E-02      3.977738452512E-01
     -1.750000000000E+00      2.648033010530E-01      1.721296660760E-01      1.353764211977E-01      1.154834042832E-01      1.026281844880E-01      9.336958556583E-02      8.622410938304E-02      8.045112450770E-02      7.563725557237E-02      7.153068557968E-02      3.859738157159E-01
     -1.700000000000E+00      2.510942223806E-01      1.599983308587E-01      1.253744117925E-01      1.071046382621E-01      9.545208021057E-02      8.710403527937E-02      8.066706218504E-02      7.545940102664E-02      7.110649356303E-02      6.738277867205E-02      3.746570787262E-01
     -1.650000000000E+00      2.379745627478E-01      1.486154273199E-01      1.160601284212E-01      9.931301970139E-02      8.877078228649E-02      8.125840278861E-02      7.547132128891E-02      7.078328893632E-02      6.685535052655E-02      6.348566652464E-02      3.636517242563E-01
     -1.600000000000E+00      2.253271674834E-01      1.378704610972E-01      1.073290087926E-01      9.201088804593E-02      8.249381757121E-02      7.574898272387E-02      7.055925151597E-02      6.635051377958E-02      6.281629332500E-02      5.977604218526E-02      3.528507754412E-01
     -1.550000000000E+00      2.130815289713E-01      1.276960603550E-01      9.911495525366E-02      8.513599186470E-02      7.656372674878E-02      7.052284809737E-02      6.588180101889E-02      6.211525501081E-02      5.894623083559E-02      5.621318493107E-02      3.421839224851E-01
