# M=6, N=3, V0=0.0, Vp0=0.0, Vp=0.0, V=1.6, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 08:55:58
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -2.220446049250E-16      2.220446049250E-16      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      2.220446049250E-16      2.220446049250E-16
      1.000000000000E-01      3.128294609431E-02      1.022618197011E-02      7.689378874106E-03      6.830480111324E-03      6.399234272971E-03      6.139092200876E-03      5.964500201894E-03      5.838792194964E-03      5.743635147712E-03      5.668844050681E-03      1.271735423018E-01
      2.000000000000E-01      9.256295681094E-02      3.855014351462E-02      2.919861044325E-02      2.589372578820E-02      2.421314932123E-02      2.318454464192E-02      2.248187903396E-02      2.196538270308E-02      2.156517193304E-02      2.124242442562E-02      2.324852781155E-01
      3.000000000000E-01      1.611252387114E-01      7.853746466823E-02      6.012364536802E-02      5.321711510012E-02      4.963291820533E-02      4.739619868034E-02      4.583342950280E-02      4.465527962315E-02      4.371709155277E-02      4.293853795767E-02      3.157116422173E-01
      4.000000000000E-01      2.234007116699E-01      1.213977205832E-01      9.405567050126E-02      8.314613747248E-02      7.734849052755E-02      7.366174000346E-02      7.103358160225E-02      6.900942237768E-02      6.736192562280E-02      6.596500428507E-02      3.778382584386E-01
      5.000000000000E-01      2.712030962181E-01      1.582348690258E-01      1.239269937032E-01      1.095365835096E-01      1.017340637952E-01      9.670705892858E-02      9.307885766401E-02      9.024976367739E-02      8.791956457460E-02      8.592198464293E-02      4.204127929062E-01
      6.000000000000E-01      3.002014136308E-01      1.819569522548E-01      1.435372360263E-01      1.269747135218E-01      1.179087485717E-01      1.120452978025E-01      1.078029218412E-01      1.044880199758E-01      1.017528246884E-01      9.940478253548E-02      4.449547079325E-01
      7.000000000000E-01      3.084381271706E-01      1.882945130277E-01      1.488284560768E-01      1.318179648167E-01      1.225478865518E-01      1.165905468708E-01      1.123111948428E-01      1.089919887420E-01      1.062727141425E-01      1.039537472664E-01      4.524498229851E-01
      8.000000000000E-01      2.953326688656E-01      1.761644412583E-01      1.387205870125E-01      1.230007236114E-01      1.145742863692E-01      1.092365318597E-01      1.054583076576E-01      1.025715741319E-01      1.002413372663E-01      9.828172266016E-02      4.430579451121E-01
      9.000000000000E-01      2.616041194984E-01      1.478645792878E-01      1.154480934738E-01      1.024444649220E-01      9.562874785314E-02      9.138676438747E-02      8.843844320991E-02      8.622909187340E-02      8.448095609129E-02      8.303979543616E-02      4.161465038374E-01
      1.000000000000E+00      2.100385653496E-01      1.089784302645E-01      8.413557982098E-02      7.469965384810E-02      6.985715908932E-02      6.689056465454E-02      6.486370160353E-02      6.337361885264E-02      6.221875497579E-02      6.128714299544E-02      3.706525326625E-01
      1.100000000000E+00      1.466089774076E-01      6.746366538815E-02      5.149137998984E-02      4.573810716841E-02      4.282932163222E-02      4.106724378668E-02      3.987874459172E-02      3.901795280937E-02      3.836192554291E-02      3.784236218149E-02      3.057487648085E-01
      1.200000000000E+00      8.148439480905E-02      3.189858931326E-02      2.411887525702E-02      2.143290618779E-02      2.008566250556E-02      1.927481933859E-02      1.873218529583E-02      1.834280970922E-02      1.804921709129E-02      1.781947664012E-02      2.222257254022E-01
      1.300000000000E+00      3.020557466117E-02      9.535324724247E-03      7.168650583730E-03      6.371934380613E-03      5.973453767873E-03      5.734290055735E-03      5.574784861491E-03      5.460798797707E-03      5.375262170337E-03      5.308691816043E-03      1.287940488964E-01
      1.400000000000E+00      1.694706368404E-02      4.826687247719E-03      3.624397709043E-03      3.221667164549E-03      3.020288513634E-03      2.899453485268E-03      2.818890273151E-03      2.761339526695E-03      2.718171570595E-03      2.684592140793E-03      9.353142233986E-02
      1.500000000000E+00      5.267215189449E-02      1.866192574683E-02      1.406256744582E-02      1.249746900692E-02      1.171355262431E-02      1.124229330650E-02      1.092736304756E-02      1.070176275757E-02      1.053199288272E-02      1.039944256324E-02      1.746714333557E-01
      1.600000000000E+00      1.130082944835E-01      4.825302783440E-02      3.664086401019E-02      3.255080007533E-02      3.049144658152E-02      2.924764504606E-02      2.841166997821E-02      2.780871766539E-02      2.735138497103E-02      2.699111486212E-02      2.653809690020E-01
      1.700000000000E+00      1.786774750685E-01      8.762239838544E-02      6.724586840104E-02      5.971739296430E-02      5.588595738125E-02      5.355315705660E-02      5.197036755374E-02      5.081603636028E-02      4.992935924139E-02      4.922100436412E-02      3.399999842869E-01
      1.800000000000E+00      2.371619102206E-01      1.287321998758E-01      9.994911496366E-02      8.873139266570E-02      8.292509631952E-02      7.934706456076E-02      7.688682770747E-02      7.506507749798E-02      7.364195792364E-02      7.248424033470E-02      3.954129480179E-01
      1.900000000000E+00      2.805615459731E-01      1.631882797555E-01      1.279968383261E-01      1.135862995630E-01      1.059717604428E-01      1.012076796666E-01      9.787924670641E-02      9.537114328778E-02      9.337503440224E-02      9.171972127631E-02      4.318876336508E-01
      2.000000000000E+00      3.045938478253E-01      1.840977900720E-01      1.453221082270E-01      1.288688818190E-01      1.200096344402E-01      1.143825184839E-01      1.103898220873E-01      1.073318145707E-01      1.048574061378E-01      1.027718122206E-01      4.504160515634E-01
      2.100000000000E+00      3.075280524361E-01      1.874213028649E-01      1.480980776744E-01      1.311847518617E-01      1.219804514786E-01      1.160726698520E-01      1.118342050839E-01      1.085508253912E-01      1.058641436868E-01      1.035755239275E-01      4.518262724839E-01
      2.200000000000E+00      2.892448298987E-01      1.724805004121E-01      1.356668534229E-01      1.200302947039E-01      1.115344520297E-01      1.060686825003E-01      1.021334227572E-01      9.907313092787E-02      9.655930485270E-02      9.440995761413E-02      4.363059264699E-01
      2.300000000000E+00      2.508979000504E-01      1.418996566294E-01      1.105961772294E-01      9.778597837723E-02      9.091873955334E-02      8.653046696119E-02      8.338827321916E-02      8.095741356705E-02      7.897032522469E-02      7.727868644834E-02      4.032254124938E-01
      2.400000000000E+00      1.954544038381E-01      1.013401275292E-01      7.807056782683E-02      6.905583425401E-02      6.432229151862E-02      6.134015711702E-02      5.923492506153E-02      5.763000881939E-02      5.633711253919E-02      5.525172882841E-02      3.512852156204E-01
      2.500000000000E+00      1.289319045917E-01      5.885308533450E-02      4.481581333025E-02      3.969785333277E-02      3.706739229513E-02      3.543990440393E-02      3.431385812190E-02      3.347408950144E-02      3.281302167829E-02      3.227090196193E-02      2.789323282862E-01
