# M=18, N=9, V0=0.0, Vp0=0.0, Vp=0.0, V=-0.7, t=1.0, n=1, tstart=0.0, tstop=100.0, tstep=0.1, PBC
# start time 2022-02-10 11:01:19
#                       t#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
      0.000000000000E+00     -4.440892098501E-16      4.440892098501E-16      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00      4.440892098501E-16      4.440892098501E-15
      1.000000000000E-01      7.012773917455E-03      1.768312173458E-03      1.326821121097E-03      1.179301839852E-03      1.105506236145E-03      1.061200311792E-03      1.031639225102E-03      1.010503758031E-03      9.946343015619E-04      9.822755173547E-04      5.619978519245E-02
      2.000000000000E-01      2.218715655268E-02      6.732079728453E-03      5.057595779985E-03      4.494218632247E-03      4.211971709129E-03      4.042188549991E-03      3.928637203603E-03      3.847218224594E-03      3.785881891026E-03      3.737933913742E-03      1.065650694992E-01
      3.000000000000E-01      4.086691332216E-02      1.395710605069E-02      1.050469784126E-02      9.331006801994E-03      8.741492263595E-03      8.385755233579E-03      8.146906972375E-03      7.974851582625E-03      7.844541129034E-03      7.742060109678E-03      1.494441895075E-01
      4.000000000000E-01      5.964670880475E-02      2.215653361245E-02      1.671082686929E-02      1.483611319982E-02      1.389105839980E-02      1.331831300610E-02      1.293172606810E-02      1.265151374692E-02      1.243778420899E-02      1.226837546448E-02      1.839077518419E-01
      5.000000000000E-01      7.602293984480E-02      3.000870318410E-02      2.267882449785E-02      2.012172398369E-02      1.882667072397E-02      1.803761160710E-02      1.750157179900E-02      1.711011581884E-02      1.680902624532E-02      1.656818289745E-02      2.096737628113E-01
      6.000000000000E-01      8.846080039704E-02      3.645786053193E-02      2.759882915189E-02      2.446830736496E-02      2.287415075222E-02      2.189682369559E-02      2.122798411654E-02      2.073544260252E-02      2.035310529952E-02      2.004425515508E-02      2.270146955589E-01
      7.000000000000E-01      9.638777377591E-02      4.091439783309E-02      3.100848060410E-02      2.746698325784E-02      2.565263615923E-02      2.453272977399E-02      2.376021343922E-02      2.318627358531E-02      2.273650521391E-02      2.236957593403E-02      2.366772150858E-01
      8.000000000000E-01      1.000783056060E-01      4.330962898371E-02      3.284438679914E-02      2.906470663763E-02      2.711610362642E-02      2.590475463250E-02      2.506234877517E-02      2.443092415089E-02      2.393150283025E-02      2.352021437267E-02      2.398287651510E-01
      9.000000000000E-01      1.004478894694E-01      4.400919087083E-02      3.338103253814E-02      2.950900619200E-02      2.750030384301E-02      2.624278299593E-02      2.536135393460E-02      2.469511763251E-02      2.416362876189E-02      2.372220396644E-02      2.380277930328E-01
